S_No,Neighborhood,lat,lon,pop2016,indo_aryan,punjabi,%pop
92,Princess-Rosethorn,,,11051,170,30,1.81
93,University,,,7607,120,15,1.77
94,Mount Dennis,,,13593,200,40,1.77
95,Bathurst Manor,,,15873,245,30,1.73
96,Woodbine-Lumsden,,,7865,115,20,1.72
97,Broadview North,,,11499,190,5,1.70
98,Junction Area,,,14366,185,40,1.57
99,South Riverdale,,,27876,365,70,1.56
100,Cabbagetown-South St. James Town,,,11669,165,15,1.54
101,Westminster-Branson,,,26274,370,20,1.48
102,Annex,,,30526,400,50,1.47
103,High Park North,,,22162,295,25,1.44
104,Newtonbrook West,,,23831,315,20,1.41
105,Weston,,,17992,210,40,1.39
106,Roncesvalles,,,14974,200,5,1.37
107,Rustic,,,9941,110,25,1.36
108,Long Branch,,,10084,110,20,1.29
109,Yonge-St.Clair,,,12528,130,20,1.20
110,Bridle Path-Sunnybrook-York Mills,,,9266,95,15,1.19
111,Edenbridge-Humber Valley,,,15535,140,35,1.13
112,Rosedale-Moore Park,,,20923,225,10,1.12
113,Clanton Park,,,16472,145,35,1.09
114,Mount Pleasant East,,,16775,160,20,1.07
115,Yonge-Eglinton,,,11817,115,10,1.06
116,Casa Loma,,,10968,105,10,1.05
117,Stonegate-Queensway,,,25051,220,40,1.04
118,Corso Italia-Davenport,,,14133,105,35,0.99
119,High Park-Swansea,,,23925,215,20,0.98
120,Caledonia-Fairbank,,,9955,75,15,0.90
121,Forest Hill South,,,10732,75,20,0.89
122,Playter Estates-Danforth,,,7804,65,0,0.83
123,Markland Wood,,,10554,80,5,0.81
124,Humewood-Cedarvale,,,14365,105,10,0.80
125,North Riverdale,,,11916,85,10,0.80
126,Englemount-Lawrence,,,22372,160,15,0.78
127,Palmerston-Little Italy,,,13826,95,10,0.76
128,Lambton Baby Point,,,7985,50,10,0.75
129,Leaside-Bennington,,,16828,105,20,0.74
130,Wychwood,,,14349,80,25,0.73
131,Lawrence Park South,,,15179,100,10,0.72
132,Lawrence Park North,,,14607,90,10,0.68
133,Oakwood Village,,,21210,125,20,0.68
134,Little Portugal,,,15559,95,10,0.67
135,Kingsway South,,,9271,50,10,0.65
136,Forest Hill North,,,12806,75,5,0.62
137,Briar Hill-Belgravia,,,14257,70,15,0.60
138,The Beaches,,,21567,90,20,0.51
139,Bedford Park-Nortown,,,23236,100,10,0.47
140,Runnymede-Bloor West Village,,,10070,40,5,0.45
141,Trinity-Bellwoods,,,16556,55,15,0.42
,,,,,,,
36,City of Toronto,,,2731571,138625,19965,5.81
