postal_code,borough,neighborhood,Latitude,Longitude
M8W,Etobicoke,"South Steeles , Silverstone , Humbergate , Jamestown , Mount Olive , Beaumond Heights , Thistletown , Albion Gardens",43.6024137,-79.5434841
M8X,Scarborough,"Steeles West , L",43.6536536,-79.5069436
M8Y,Downtown Toronto,Rosedale,43.6362579,-79.4985091
M8Z,Downtown TorontoStn A PO Boxes,Enclave of M,43.6288408,-79.5209994
M9A,Etobicoke,"Alderwood , Long Branch",43.6678556,-79.5322424
M9B,EtobicokeNorthwest,"Clairville , Humberwood , Woodbine Downs , West Humber , Kipling Heights , Rexdale , Elms , Tandridge , Old Rexdale",43.6509432,-79.5547244
M9C,Scarborough,Upper Rouge,43.6435152,-79.5772008
M9L,Downtown Toronto,St,43.7563033,-79.5659633
M9M,Downtown Toronto,"First Canadian Place , Underground city",43.7247659,-79.5322424
M9N,Etobicoke,"The Kingsway , Montgomery Road , Old Mill North",43.706876,-79.5181884
M9P,Downtown Toronto,Church and Wellesley,43.696319,-79.5322424
M9R,East TorontoBusiness reply mail Processing Centre,Enclave of M,43.6889054,-79.5547244
M9V,Etobicoke,"Old Mill South , King",43.7394164,-79.5884369
M9W,Etobicoke,"Mimico NW , The Queensway West , South of Bloor , Kingsway Park South West , Royal York South West",43.7067483,-79.5940544
